date;holidayname;subcountry
2096-05-01;Erster Mai;BY
2096-05-24;Christi Himmelfahrt;BY
2096-06-04;Pfingstmontag;BY
2096-10-03;Tag der Deutschen Einheit;BY
2096-12-25;Erster Weihnachtstag;BY
2096-12-26;Zweiter Weihnachtstag;BY
2096-01-06;Heilige Drei Könige;BY
2096-06-14;Fronleichnam;BY
2096-11-01;Allerheiligen;BY
2097-01-01;Neujahr;BY
2097-03-29;Karfreitag;BY
2097-04-01;Ostermontag;BY
2097-05-01;Erster Mai;BY
2097-05-09;Christi Himmelfahrt;BY
2097-05-20;Pfingstmontag;BY
2097-10-03;Tag der Deutschen Einheit;BY
2097-12-25;Erster Weihnachtstag;BY
2097-12-26;Zweiter Weihnachtstag;BY
2097-01-06;Heilige Drei Könige;BY
2097-05-30;Fronleichnam;BY
2097-11-01;Allerheiligen;BY
2098-01-01;Neujahr;BY
2098-04-18;Karfreitag;BY
2098-04-21;Ostermontag;BY
2098-05-01;Erster Mai;BY
2098-05-29;Christi Himmelfahrt;BY
2098-06-09;Pfingstmontag;BY
2098-10-03;Tag der Deutschen Einheit;BY
2098-12-25;Erster Weihnachtstag;BY
2098-12-26;Zweiter Weihnachtstag;BY
2098-01-06;Heilige Drei Könige;BY
2098-06-19;Fronleichnam;BY
2098-11-01;Allerheiligen;BY
2020-01-01;Neujahr;BY
2020-04-10;Karfreitag;BY
2020-04-13;Ostermontag;BY
2020-05-01;Erster Mai;BY
2020-05-21;Christi Himmelfahrt;BY
2020-06-01;Pfingstmontag;BY
2020-10-03;Tag der Deutschen Einheit;BY
2020-12-25;Erster Weihnachtstag;BY
2020-12-26;Zweiter Weihnachtstag;BY
2020-01-06;Heilige Drei Könige;BY
2020-06-11;Fronleichnam;BY
2020-11-01;Allerheiligen;BY
2021-01-01;Neujahr;BY
2021-04-02;Karfreitag;BY
2021-04-05;Ostermontag;BY
2021-05-01;Erster Mai;BY
2021-05-13;Christi Himmelfahrt;BY
2021-05-24;Pfingstmontag;BY
2021-10-03;Tag der Deutschen Einheit;BY
2021-12-25;Erster Weihnachtstag;BY
2021-12-26;Zweiter Weihnachtstag;BY
2021-01-06;Heilige Drei Könige;BY
2021-06-03;Fronleichnam;BY
2021-11-01;Allerheiligen;BY
2022-01-01;Neujahr;BY
2022-04-15;Karfreitag;BY
2022-04-18;Ostermontag;BY
2022-05-01;Erster Mai;BY
2022-05-26;Christi Himmelfahrt;BY
2022-06-06;Pfingstmontag;BY
2022-10-03;Tag der Deutschen Einheit;BY
2022-12-25;Erster Weihnachtstag;BY
2022-12-26;Zweiter Weihnachtstag;BY
2022-01-06;Heilige Drei Könige;BY
2022-06-16;Fronleichnam;BY
2022-11-01;Allerheiligen;BY
2023-01-01;Neujahr;BY
2023-04-07;Karfreitag;BY
2023-04-10;Ostermontag;BY
2023-05-01;Erster Mai;BY
2023-05-18;Christi Himmelfahrt;BY
2023-05-29;Pfingstmontag;BY
2023-10-03;Tag der Deutschen Einheit;BY
2023-12-25;Erster Weihnachtstag;BY
2023-12-26;Zweiter Weihnachtstag;BY
2023-01-06;Heilige Drei Könige;BY
2023-06-08;Fronleichnam;BY
2023-11-01;Allerheiligen;BY
2024-01-01;Neujahr;BY
2024-03-29;Karfreitag;BY
2024-04-01;Ostermontag;BY
2024-05-01;Erster Mai;BY
2024-05-09;Christi Himmelfahrt;BY
2024-05-20;Pfingstmontag;BY
2024-10-03;Tag der Deutschen Einheit;BY
2024-12-25;Erster Weihnachtstag;BY
2024-12-26;Zweiter Weihnachtstag;BY
2024-01-06;Heilige Drei Könige;BY
2024-05-30;Fronleichnam;BY
2024-11-01;Allerheiligen;BY
2025-01-01;Neujahr;BY
2025-04-18;Karfreitag;BY
2025-04-21;Ostermontag;BY
2025-05-01;Erster Mai;BY
2025-05-29;Christi Himmelfahrt;BY
2025-06-09;Pfingstmontag;BY
2025-10-03;Tag der Deutschen Einheit;BY
2025-12-25;Erster Weihnachtstag;BY
2025-12-26;Zweiter Weihnachtstag;BY
2025-01-06;Heilige Drei Könige;BY
2025-06-19;Fronleichnam;BY
2025-11-01;Allerheiligen;BY
2026-01-01;Neujahr;BY
2026-04-03;Karfreitag;BY
2026-04-06;Ostermontag;BY
2026-05-01;Erster Mai;BY
2026-05-14;Christi Himmelfahrt;BY
2026-05-25;Pfingstmontag;BY
2026-10-03;Tag der Deutschen Einheit;BY
2026-12-25;Erster Weihnachtstag;BY
2026-12-26;Zweiter Weihnachtstag;BY
2026-01-06;Heilige Drei Könige;BY
2026-06-04;Fronleichnam;BY
2026-11-01;Allerheiligen;BY
2027-01-01;Neujahr;BY
2027-03-26;Karfreitag;BY
2027-03-29;Ostermontag;BY
2027-05-01;Erster Mai;BY
2027-05-06;Christi Himmelfahrt;BY
2027-05-17;Pfingstmontag;BY
2027-10-03;Tag der Deutschen Einheit;BY
2027-12-25;Erster Weihnachtstag;BY
2027-12-26;Zweiter Weihnachtstag;BY
2027-01-06;Heilige Drei Könige;BY
2027-05-27;Fronleichnam;BY
2027-11-01;Allerheiligen;BY
2028-01-01;Neujahr;BY
2028-04-14;Karfreitag;BY
2028-04-17;Ostermontag;BY
2028-05-01;Erster Mai;BY
